4,吉祥寺,#スニーカー#中古#キッズ,0422-47-6671,スニーカーショップSKIT,東京都<br />武蔵野市<br />吉祥寺南町\n１−１８−１ D-ASSET吉祥寺 １F,35.7013,139.579,,,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
5,吉祥寺,#レディス, 0422-20-3606,うさぎや,東京都武蔵野市吉祥寺本町１丁目２−７,35.704,139.579,10:30-20:00,http://usagiya-san.jp/,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,7
6,吉祥寺,#チェーン#メンズ#レディス#キッズ#スニーカー#ブーツ,0422-21-7751,ABC-MART 吉祥寺店,東京都武蔵野市吉祥寺本町１丁目１３−３,35.7051,139.581,11:00-21:00,https://map.abc-mart.net/,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,6
7,吉祥寺,#メンズ#レディス#キッズ#スポーツ#スニーカー,0422-23-7092,シュープラザ 吉祥寺本店,東京都武蔵野市 吉祥寺本町1-9-10 ファミリープラザ1F,35.704,139.58,10:00-21:00,https://www.chiyodagrp.co.jp/map/shop_detail.php?m=dtl&sn=34304,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,4
8,吉祥寺,#チェーン#メンズ#レディス#キッズ#スニーカー#ブーツ,0422-28-7836,ABC-MART メガステージ ヨドバシ吉祥寺店,東京都武蔵野市吉祥寺本町１丁目１９−１,35.7047,139.582,10:00-21:00,https://map.abc-mart.net/site/detail/id/344,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
9,吉祥寺,#スポーツ#キッズ#スニーカー#スポーツ###,0422-72-5592,ステップインステップ吉祥寺店,東京都武蔵野市御殿山１丁目１−３,35.7028,139.577,11:00-21:00,https://step-japan.jp/shoplist/shoplist_tokyo_kichijoji.php,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
10,吉祥寺,#レディス#メンズ#キッズ####,0422-21-2341,ビルケンシュトック 吉祥寺,東京都武蔵野市吉祥寺本町1−３−４,35.7036,139.578,11:00-20:00,http://ec.benexy.com/brand/shops/detail?id=kichijoji,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,2
11,吉祥寺,#チェーン#メンズ#レディス#キッズ#スニーカー#ブーツ,0422-21-8824,ABC-MART 吉祥寺パルコ店,東京都武蔵野市吉祥寺本町1-5-1,35.7037,139.578,10:00-21:00,https://kichijoji.parco.jp/shop/detail/?cd=006738,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,5
12,吉祥寺,#メンズ#レディス#キッズ#安い#スニーカー##,0422-22-0500,靴のダイワ 吉祥寺１号店,東京都武蔵野市吉祥寺本町１丁目１５−２,35.7039,139.58,10:00-21:00,,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,9
13,吉祥寺,#メンズ#レディス#キッズ#ユニセックス#ブーツ#スニーカー#,0422-21-3630,ドクターマーチンショップDMS吉祥寺店,東京都都武蔵野市吉祥寺本町２丁目１６−１ メイズ2ビル,35.705,139.577,11:00-20:00,https://www.rakuten.ne.jp/gold/dms/locator/info_kitijyouji.html,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,1
14,吉祥寺,#シューケア,0422-79-8892,靴専科 吉祥寺店,東京都武蔵野市吉祥寺南町1-11-12 キャニオンプラザ吉祥寺1F,35.7025,139.577,10:00-19:00,https://www.kutsusenka.com/shop/detail/KITIZYOUZI/,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
15,下北沢,#スニーカー#レディス#メンズ#ビジネス###,03-3411-6177,アスビー 下北沢店,東京都世田谷区北沢２丁目１７−１,35.66,139.667,11:00-21:00,http://www.asbee.jp/store/detail/?shop_cd=0000000040,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
16,下北沢,#チェーン#メンズ#レディス#キッズ#スニーカー#ブーツ,03-5790-6620,ABC-MART 下北沢店,東京都世田谷区北沢２丁目２５−１３,35.6626,139.667,11:00-20:30,https://map.abc-mart.net/site/detail/id/43,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,10
17,下北沢,#スポーツ#キッズ#スニーカー#スポーツ###,03-6891-9292,ステップインステップ 下北沢北口店,東京都世田谷区北沢２丁目３１−１４,35.6627,139.668,11:00-20:00,https://step-japan.jp/shoplist/shoplist_tokyo_shimokita_kita.php,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
18,渋谷,#スニーカー#レディス#メンズ#ビジネス#キッズ##,03-5459-9211,アスビー渋谷センター街店,東京都渋谷区宇田川町23−８,35.66,139.699,11:00-22:00,http://www.asbee.jp/store/detail/?shop_cd=0000000045,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。
19,渋谷,#レディス専門#レディスシューズ全般#####,03-6416-5855,ランダ 渋谷店,東京都渋谷区宇田川町１６−８ 渋谷センタービル１F,35.6609,139.699,11:00-21:00,http://www.randa.jp/shop/pages/shoplist_shibuya.aspx,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,8
20,渋谷,#シューケア#メンズ#レディス#キッズ###,03-5459-0411,リーガルシューズ 渋谷マークシティ店,東京都渋谷区道玄坂１丁目１２−５ 渋谷マークシティウェスト４F,35.6581,139.698,10:00-21:00,https://www.regalshoes.jp/shop/storemaster/detail.aspx?store=0253,2001年3月にオープンしたスニーカーショップSkit東京・吉祥寺店。<br>新品、中古、新作、旧作に国内未発売モデルなど自分たちの目にかなったスニーカーをジャンルレスに取り扱っています。<br>他では見つからないアイテムもきっと見つかるはずです。<br>履かなくなったスニーカーの買取も行っております。<br>毎日ある入荷品からお宝を是非お探しください。,3
